Name,Roll Weight,Slot/Type,Sprite,Healing,Weight Gain,Special Qualities,Special Magnitude
Roll Potion,200,Consumable,,,,,
Roll Scroll,100,Consumable,,,,,
Cupcake,100,Consumable,spr_food_cupcake,30,15,,
Cake Slice,40,Consumable,spr_food_cake_slice,100,30,,
Whole Cake,20,Consumable,spr_food_cake,200,50,,
Bread,60,Consumable,spr_food_bread,10,10,Max HP,3
Drumstick,60,Consumable,spr_food_drumstick,10,10,Damage,2.5
Cheese,60,Consumable,spr_food_cheese_wheel,10,15,Defense,1
Olive,40,Consumable,spr_food_olive,5,5,Dodge,1
Almond,30,Consumable,spr_food_almond,5,5,Lifesteal,1
Egg,40,Consumable,spr_food_egg,10,10,Intelligence,1
Durian,40,Consumable,spr_food_durian,-10,10,Thorns,3
Syrup,40,Consumable,spr_food_syrup,0,15,Crit Rate,2.5
Ice Cream,30,Consumable,spr_food_ice_cream,0,15,Crit Damage,15
Chili,10,Consumable,spr_food_pepper,-10,5,Fire Resist,1
Eggplant,10,Consumable,spr_food_eggplant,10,10,Ice Resist,1
Coffee,10,Consumable,spr_food_coffee,0,5,Dark Resist,1
Bean,10,Consumable,spr_food_bean,5,5,Pois Resist,1
Banana,5,Consumable,spr_food_banana,5,5,Elec Resist,1
Butter,30,Consumable,spr_food_butter,-10,100,,
Celery,30,Consumable,spr_food_celery,10,-100,,
