name,targetStyle,element,damage,diameter,spellRange,valid,buffApplied,duration,strength,selfBuff,duration,strength,description,cooldownType,cooldown
Fireball,cursor,Fire,20 int*5,3,3,"noPlayer,noWall",,,,,,,Creates a 3x3 tile fiery explosion,turns,20
Confuse,singleEnemy,,,,3,,Confusion,5 int*1,,,,,Confuses an enemy,turns,20
Glaciate,allEnemy,Ice,3 int*3,,3,,Slow,5 int*3,,,,,Slows nearby enemies,turns,20
Stoneskin,selfEnch,,,,,,,,,Stoneskin,25 int*5,,Defense bonus removed by taking damage,floors,1
Soul Bolt,singleEnemy,Dark,15 int*10,,3,,,,,Mind Rot,1,0.5,Deadly bolt that reduces your intelligence until you kill,,
Flurried Strike,selfEnch,,,,,,,,,Flurry Strike,1,2 int*0.4,Gives multistrike for one attack,turns,20
Heavy Strike,selfEnch,,,,,,,,,Heavy Strike,1,1 int*0.1,Increases damage for one attack,turns,20
Lash,selfEnch,,,,,,,,,Lash,0.5 int*0.1,,Makes movement actions super fast,floors,1
Dig,directional,,,,3,"noPlayer,noEnemy",,,,,,,Carves a path through walls,,
Seismic Stomp,selfRadius,,20 10*weightclass,3,,,,,,,,,Deals damage in an area scaling with your size,,
Stupid Beam,directional,,30 int*-5,,3,noPlayer,Dull,,0.5,Stupid,,3,A beam that scales negatively with intelligence. Temporarily reduces enemy spellpower and your own intelligence,,
Searing Dart,singleEnemy,Fire,20 int*5,,5,,,,,,,,Fires a fiery dart,turns,5
Icicle Dart,singleEnemy,Ice,15 int*5,,5,,Slow,5 int*3,,,,,Fires an icy dart,turns,5
Shadow Dart,singleEnemy,Dark,20 int*5,,5,,,,,,,,Fires a deadly dart,turns,5
Toxic Dart,singleEnemy,Pois,5,,5,,Poison,3,20 int*5,,,,Fires a dart that inflicts delayed damage,turns,5
Static Dart,singleEnemy,Elec,15 int*5,,5,,Stun,0.5,,,,,Fires a stunning dart,,
Desperate Bolt,directional,Dark,50 hp*-1,,3,,,,,Mortality,,,A beam that scales negatively with health. Increases incoming damage for 5 turns,healing,50
